B,nh,N,Q_size,naive,flash,speedup
8,8,64,1,31.772,1.401,22.67808708
16,8,64,2,91.503,2.728,33.54215543
32,8,64,4,289.735,4.573,63.35775202
8,12,64,5,61.91,2.334,26.52527849
16,12,64,3,182.234,4.099,44.45816053
32,12,64,6,696.679,7.747,89.92887569
8,16,64,2,91.591,2.774,33.01766402
16,16,64,4,289.709,4.589,63.13118326
32,16,64,8,1136.786,10.059,113.0118302
8,12,128,3,226.242,12.027,18.81117486
16,12,128,6,696.898,9.184,75.88175087
8,8,256,4,289.752,11.387,25.44585931
8,12,256,8,1136.821,22.904,49.6341687
8,16,256,6,696.255,20.493,33.97525984
16,8,256,8,1137.854,23.049,49.36674042